config_id,config_name,initial_equity,risk_per_unit_pct,max_positions,enable_longs,enable_shorts,enable_system1,enable_system2,balance_long_short_units,seed,final_equity,total_pnl,total_return_pct,num_trades,max_drawdown_pct,win_rate,system1_long_pnl,system1_long_count,system1_long_win_rate,system1_short_pnl,system1_short_count,system1_short_win_rate,system2_long_pnl,system2_long_count,system2_long_win_rate,system2_short_pnl,system2_short_count,system2_short_win_rate
6c0f794f324f940c9594da7b16dc9b8e,long_short_system1_seed12_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,12.0,377663.4952286671,367663.4952286671,3676.6349522866713,623.0,71.27407011350736,29.53451043338684,88901.72825067939,166.0,40.36144578313253,187108.4738002175,457.0,25.601750547045953,0.0,0.0,0.0,0.0,0.0,0.0
f849d2c12e03a68e271515ee22ea526c,long_short_system1_seed13_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,13.0,8569638.27335993,8559638.27335993,85596.3827335993,558.0,24.96792677433904,35.12544802867383,1445290.7088769411,144.0,40.97222222222222,5888292.586773368,414.0,33.091787439613526,0.0,0.0,0.0,0.0,0.0,0.0
791a7aae07253926a69eefad255e88f4,long_short_system1_seed19_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,19.0,506852.7907151343,496852.7907151343,4968.527907151343,620.0,32.583428009525115,29.838709677419356,112570.73299646286,182.0,38.46153846153847,322112.0036704699,438.0,26.25570776255708,0.0,0.0,0.0,0.0,0.0,0.0
00179469c8da162a2856a35afb0bfa46,long_short_system1_seed18_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,18.0,2412372.753978096,2402372.753978096,24023.727539780957,553.0,27.875802344702677,31.28390596745027,985800.3204748074,142.0,39.436619718309856,1206951.190267709,411.0,28.467153284671532,0.0,0.0,0.0,0.0,0.0,0.0
785f402e69cb4b5b1c64a306aed9b66c,long_short_system1_seed17_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,17.0,13786199.150907503,13776199.150907503,137761.99150907504,526.0,19.957454155214467,37.452471482889734,2094331.8924531348,140.0,45.0,10338649.621814502,386.0,34.715025906735754,0.0,0.0,0.0,0.0,0.0,0.0
32218f212b38d56bb3ffef793d9a0249,long_short_system1_seed16_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,16.0,2799193.097932671,2789193.097932671,27891.930979326713,580.0,33.8145199767063,31.724137931034484,412933.56260521174,145.0,42.758620689655174,2134658.5247063423,435.0,28.045977011494255,0.0,0.0,0.0,0.0,0.0,0.0
3d6c6d0bbb0742c6f614310a67d46c96,long_short_system1_seed20_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,20.0,3021654.5559581323,3011654.5559581323,30116.54555958132,572.0,26.314952676371373,32.34265734265735,488056.8238151856,161.0,37.267080745341616,2459321.6863833256,411.0,30.413625304136257,0.0,0.0,0.0,0.0,0.0,0.0
4133c6756f74b96c97d6e2cf34d3d871,long_short_system1_seed21_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,21.0,1281120.290675487,1271120.290675487,12711.202906754868,599.0,35.347112621776766,32.220367278797994,253060.80110621295,170.0,38.82352941176471,971060.015170072,429.0,29.603729603729604,0.0,0.0,0.0,0.0,0.0,0.0
959dc46195e5735cebe3d68d184e75f1,long_short_system1_seed22_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,22.0,5392107.594964665,5382107.594964665,53821.07594964665,596.0,36.83687932677021,30.201342281879196,2899016.838950344,153.0,43.790849673202615,2086718.4884809696,443.0,25.5079006772009,0.0,0.0,0.0,0.0,0.0,0.0
8b77432a8ecb4cc24f845ff66bcaa0cc,long_short_system1_seed23_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,23.0,377956.1425487752,367956.1425487752,3679.561425487753,625.0,42.602837323915345,29.6,164475.03605707854,158.0,39.24050632911392,176804.8470031824,467.0,26.33832976445396,0.0,0.0,0.0,0.0,0.0,0.0
23c8057a7f50cbe32369a6cb71dc138c,long_short_system1_seed25_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,25.0,2752633.432645752,2742633.432645752,27426.33432645752,538.0,31.93287669234941,33.82899628252788,565798.6897881483,141.0,41.84397163120568,2146195.2414548616,397.0,30.982367758186395,0.0,0.0,0.0,0.0,0.0,0.0
eb50dbbf11eef9331f094dd877364ed6,long_short_system1_seed26_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,26.0,5382663.118145176,5372663.118145176,53726.63118145176,566.0,27.57591869711477,33.03886925795053,938166.0183778688,153.0,39.869281045751634,3797012.687863119,413.0,30.508474576271187,0.0,0.0,0.0,0.0,0.0,0.0
f3a8cedb8313a38262148222c1202481,long_short_system1_seed28_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,28.0,3829123.032781241,3819123.032781241,38191.23032781241,574.0,23.365163942169467,35.88850174216028,700890.5768851882,165.0,40.60606060606061,2711803.0122967907,409.0,33.98533007334964,0.0,0.0,0.0,0.0,0.0,0.0
a9bc6c5e19e757ab80cd277f63d3f165,long_short_system1_seed24_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,24.0,5594232.843044995,5584232.843044995,55842.32843044996,535.0,34.44314659477129,32.71028037383177,1357829.288831893,152.0,37.5,2771970.8746521133,383.0,30.809399477806785,0.0,0.0,0.0,0.0,0.0,0.0
1866aa385857e1bc3b2780dede805c8f,long_short_system1_seed27_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,27.0,10570639.748928923,10560639.748928923,105606.39748928924,556.0,29.808268351645605,30.215827338129497,1608601.57680176,141.0,38.297872340425535,5942460.178311167,415.0,27.46987951807229,0.0,0.0,0.0,0.0,0.0,0.0
a89a402a5d32b6c6a68f27e904d35cc4,long_short_system1_seed29_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,29.0,1763797.6848877622,1753797.6848877622,17537.97684887762,621.0,26.906344909238232,28.502415458937197,431781.69030859385,176.0,33.52272727272727,947311.9316050216,445.0,26.516853932584272,0.0,0.0,0.0,0.0,0.0,0.0
1285d3261963b11933850f15c54c5f49,long_short_system1_seed30_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,30.0,12005488.025696924,11995488.025696924,119954.88025696923,563.0,38.53767329595084,31.438721136767317,3334585.689039964,147.0,39.455782312925166,7975766.97664178,416.0,28.60576923076923,0.0,0.0,0.0,0.0,0.0,0.0
9de4bba837511f00f947d22c4920a631,long_short_system1_seed31_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,31.0,11551767.744346,11541767.744346,115417.67744346,578.0,25.30985265197901,33.56401384083045,825405.3084488376,162.0,41.358024691358025,8179867.804682257,416.0,30.528846153846157,0.0,0.0,0.0,0.0,0.0,0.0
cd43da9693947ceca40e4428901e0ca6,long_short_system1_seed33_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,33.0,1599987.1939824966,1589987.1939824966,15899.871939824969,589.0,46.0743796058182,29.8811544991511,659778.9466758644,160.0,38.125,623554.6298042536,429.0,26.806526806526808,0.0,0.0,0.0,0.0,0.0,0.0
98c91d32303b494317e32c485b5ec3bd,long_short_system1_seed32_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,32.0,1595407.2276917982,1585407.2276917982,15854.072276917985,600.0,38.97295504617881,33.0,685433.1624781763,161.0,45.962732919254655,510788.85042674455,439.0,28.246013667425967,0.0,0.0,0.0,0.0,0.0,0.0
1d787fb5438191af32e449b786385613,long_short_system1_seed35_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,35.0,1545093.1443064352,1535093.1443064352,15350.931443064352,524.0,37.13633311928763,35.11450381679389,721421.0521947907,131.0,47.32824427480916,750616.748161628,393.0,31.043256997455472,0.0,0.0,0.0,0.0,0.0,0.0
ca787d26ac9748cecd757bad2ff1ceee,long_short_system1_seed36_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,36.0,4089668.4331005705,4079668.4331005705,40796.68433100571,520.0,32.703712978017975,35.38461538461539,1217267.6174438796,138.0,46.3768115942029,1739885.649250999,382.0,31.413612565445025,0.0,0.0,0.0,0.0,0.0,0.0
c9c0f73d5914943ad1ab1389db53ee9c,long_short_system1_seed37_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,37.0,1658423.6570916302,1648423.6570916302,16484.2365709163,595.0,33.51828772209269,31.76470588235294,533235.5381032556,157.0,38.21656050955414,1113109.6532730923,438.0,29.45205479452055,0.0,0.0,0.0,0.0,0.0,0.0
9c82f271a966ce761e28f0e620379747,long_short_system1_seed34_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,34.0,1428592.4430494742,1418592.4430494742,14185.924430494742,609.0,30.778719852100288,30.541871921182267,185110.91665413085,156.0,37.17948717948718,1173076.3842972703,453.0,28.2560706401766,0.0,0.0,0.0,0.0,0.0,0.0
82ac000a1c63c14cd7d54ca10bedaaf4,long_short_system1_seed39_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,39.0,7981131.137994499,7971131.137994499,79711.311379945,543.0,21.638638493484,36.095764272559855,2351997.100970767,147.0,46.93877551020408,3871914.727879003,396.0,32.07070707070707,0.0,0.0,0.0,0.0,0.0,0.0
edb844f8c39e30e24237aaebdb3a2b47,long_short_system1_seed38_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,38.0,25353199.361097474,25343199.361097474,253431.99361097472,549.0,29.394312254597676,36.0655737704918,7914331.796335421,154.0,43.506493506493506,14983177.831719205,395.0,33.164556962025316,0.0,0.0,0.0,0.0,0.0,0.0
319a2d9963bf5f33ed6581bbac299025,long_short_system1_seed40_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,40.0,5844913.860531781,5834913.860531781,58349.13860531781,561.0,34.4385325994851,30.303030303030305,1746983.2664341286,131.0,41.98473282442748,1525491.5229917292,430.0,26.744186046511626,0.0,0.0,0.0,0.0,0.0,0.0
b26c4cb6f9d7b73053c5d43c48ef2549,long_short_system1_seed41_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,41.0,8130645.345950445,8120645.345950445,81206.45345950445,575.0,28.186868450724585,32.34782608695652,3391942.210717914,158.0,42.40506329113923,4103672.4890840226,417.0,28.53717026378897,0.0,0.0,0.0,0.0,0.0,0.0
c91a9e2f48a625680fce8be9b63c47b7,long_short_system1_seed42_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,42.0,2482859.1269929055,2472859.1269929055,24728.591269929057,569.0,39.95979323559316,30.931458699472756,824926.3965792166,149.0,39.59731543624161,1460346.903648726,420.0,27.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0
